"Notes"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"< 1 year"	"0"	237086	40650234	583.2
	"Female"	"F"	"1 year"	"1"	16365	40600934	40.3
	"Female"	"F"	"2 years"	"2"	10261	40618075	25.3
	"Female"	"F"	"3 years"	"3"	7504	40714532	18.4
	"Female"	"F"	"4 years"	"4"	6242	40883365	15.3
	"Female"	"F"	"5 years"	"5"	5466	41013459	13.3
	"Female"	"F"	"6 years"	"6"	5029	41083579	12.2
	"Female"	"F"	"7 years"	"7"	4683	41325664	11.3
	"Female"	"F"	"8 years"	"8"	4600	41499175	11.1
	"Female"	"F"	"9 years"	"9"	4620	41823385	11.0
	"Female"	"F"	"10 years"	"10"	4627	42572492	10.9
	"Female"	"F"	"11 years"	"11"	4903	42600758	11.5
	"Female"	"F"	"12 years"	"12"	5245	42805593	12.3
	"Female"	"F"	"13 years"	"13"	6152	42829427	14.4
	"Female"	"F"	"14 years"	"14"	7515	42835250	17.5
	"Female"	"F"	"15 years"	"15"	9185	42981273	21.4
	"Female"	"F"	"16 years"	"16"	12440	43174088	28.8
	"Female"	"F"	"17 years"	"17"	14362	43266261	33.2
	"Female"	"F"	"18 years"	"18"	17100	43628470	39.2
	"Female"	"F"	"19 years"	"19"	17981	43991273	40.9
	"Female"	"F"	"20 years"	"20"	18656	43830439	42.6
	"Female"	"F"	"21 years"	"21"	20286	43814263	46.3
	"Female"	"F"	"22 years"	"22"	20390	43680638	46.7
	"Female"	"F"	"23 years"	"23"	21184	43562228	48.6
	"Female"	"F"	"24 years"	"24"	21955	43602582	50.4
	"Female"	"F"	"25 years"	"25"	22935	43677116	52.5
	"Female"	"F"	"26 years"	"26"	24138	43422966	55.6
	"Female"	"F"	"27 years"	"27"	25245	43571478	57.9
	"Female"	"F"	"28 years"	"28"	26669	43403816	61.4
	"Female"	"F"	"29 years"	"29"	28174	43169682	65.3
	"Female"	"F"	"30 years"	"30"	29772	43343399	68.7
	"Female"	"F"	"31 years"	"31"	31267	42926134	72.8
	"Female"	"F"	"32 years"	"32"	33806	43215918	78.2
	"Female"	"F"	"33 years"	"33"	35895	43184044	83.1
	"Female"	"F"	"34 years"	"34"	38318	43391366	88.3
	"Female"	"F"	"35 years"	"35"	41785	43713219	95.6
	"Female"	"F"	"36 years"	"36"	44878	43886481	102.3
	"Female"	"F"	"37 years"	"37"	48448	44085684	109.9
	"Female"	"F"	"38 years"	"38"	52776	44275905	119.2
	"Female"	"F"	"39 years"	"39"	57789	44578227	129.6
	"Female"	"F"	"40 years"	"40"	62587	44773291	139.8
	"Female"	"F"	"41 years"	"41"	67907	44940303	151.1
	"Female"	"F"	"42 years"	"42"	74493	45276964	164.5
	"Female"	"F"	"43 years"	"43"	82062	45465798	180.5
	"Female"	"F"	"44 years"	"44"	89213	45621539	195.6
	"Female"	"F"	"45 years"	"45"	97244	45788449	212.4
	"Female"	"F"	"46 years"	"46"	106248	45808856	231.9
